,label,text,like_count
0,0,为什么对好人这么不公平啊 一定要康复啊！??,1404
1,0,不是病了一段时间了 现在才给确诊？被训诫者还剥夺确诊权咋的？,607
2,1,武汉英雄八人,494
3,0,去警察局了吧，求接触警察的心理阴影面积,361
4,1,早日康复,223
5,0,武汉zf牛逼 红十会牛逼,155
6,1,好人一生平安,112
7,0,太难过了了想骂街，都是啥妖魔鬼怪！！！鲁迅狂人日记里说吃人，我信了。,98
8,0,。。。我寿光捐的菜被红会卖了，我上海给自家医疗队的物资红会让给他们1/3不然不让出机场，论一腔热血怎么变凉？,68
9,0,堂下何人状告本官啊？ 跪好，回本老爷话！  。。。最近看影视剧太多了，串台了，对不起啊。,65
10,1,祝早日康复,44
11,0,他应该在怀疑人生,32
12,1,你是英雄 一定要尽快好起来！加油?,35
13,0,这是个什么世道啊……,25
14,0,天哪为什么,19
15,1,争取早日康复,12
16,0,哎。。。(五味杂陈，不知道该说什么好),9
17,0,这次真的是从上到下都开始烂起来了,14
18,0,西安发文延迟上班只停留在纸面上，只管发文不管监督，目前单位还是通知3号上班！,9
19,1,早日康复 早日回家,5
20,1,老天保佑他一定要康复出院这种人准确来说就是敢说真话的英雄,6
21,1,这么晚确诊。好好康复。,5
22,1,祈祷李医生平安。???,6
23,1,为众人抱薪者。不说了，说啥都是泪,4
24,1,好好休息，好好养病。,4
25,1,早日康复,4
26,1,我的天,4
27,1,一定康复！！负重前行的人啊,4
28,0,英雄在第一线出生入死，贪官在安全线数钱拖后腿,6
29,1,这社会真踏马讽刺，希望医生早日恢复健康,4
30,0,凤凰这个潜伏在我党眼皮底下的高端黑，灯下黑，常年致力于利用中国的任何负面舆情煽动和引导社会的负面情绪 误导社会意识形态！,0
31,0,您这话语的口气，是让我开心好，还是难过好呢。真是心酸,5
32,1,英雄，勇士！,1
33,0,被训诫什么？,1
34,0,唉,2
35,0,我想知道，“实事求是”在中国还强调吗,2
36,1,多多保重!!!,1
37,0,无力感....,1
38,1,一定要早日康复！,1
39,0,痛心疾首,1
40,0,F4可以学一下小日本，自杀谢罪了。。,1
41,0,武汉这帮官员真是烂透了,1
42,1,保重！祝早日康复！,1
43,0,红十才应该得肺炎,1
44,1,一定要康复,1
45,1,好人祝早日康复。,1
46,1,要好起来呀???,1
47,1,一定要康复，好人一生平安?,1
48,0,老天眼瞎了！,1
49,1,武汉市政府和公安局应该公开道歉并处理相关责任人！要给英雄平反！！！,2
50,1,好人一生平安,0
51,1,84岁的钟爷爷披挂上阵，好多网友泪奔说：“倘若下次没有钟爷爷哪？”，还好，我们有了你，李文亮！请为国珍重！,0
52,1,平安平安??,0
53,0,以前我一直以为电视剧里面的贪官污吏，朝廷赈灾的拨款被瓜分这些都是假的，直到现在 武汉红十字会，武汉的大大小小的官员 你们跟拍电视剧一样,1
54,0,@央视新闻,0
55,1,敢于说真话的人，才是真正的勇士[加油],0
56,0,如果每个人都不关心。。。。就会放任他们为所欲为。,1
57,1,英雄，平安,0
58,0,那些约谈他的人，谈的时候戴口罩了么,1
59,1,早日康复??,0
60,0,??,0
61,1,哎早点好起来！！！,0
62,1,李医生做了一名医生的该做的事，为生命安全服务，这样的精神值得被珍惜和保护！,1
63,1,天佑文亮。,0
64,0,我想知道训诫他的那些人什么情况了……隔离了么,0
65,1,好人没好报啊（歌词都是骗人的）,0
66,0,湖北省政府牛逼，武汉市政府牛逼,2
67,1,早日康复,0
68,0,@李霹雳霹雳霹雳啪啦,0
69,1,一定会康复,0
70,1,愿平安,0
71,0,要不去警察局上报训诫后心得？,0
72,1,保重，自愈力走起,0
73,1,一定要快快好起来?,0
74,1,要早日康复啊！！,0
75,1,快点好起来,1
76,1,???希望早日康复。,0
77,1,好好隔离。早日恢复,0
78,1,早日康复！！,0
79,0,怎么会这样,0
80,1,早日康复,0
81,1,李医生，早日康复！加油！,0
82,0,真够讽刺的,0
83,0,唉,0
84,0,唉……,0
85,1,你才是真正的专家，有良知的专家。,1
86,1,相关人士缺个道歉,1
87,1,做出训诫处罚决定的那个人能不能道歉 这个世道真的 只能叹气 希望他早点好起来 健康出院,1
88,0,现在看这份训诫书仿佛一个天大的笑话，如果当初采取另一种态度，现在全国还会是这个德行吗？,1
89,1,"不惟上,不惟书,只惟实，人民最大，",0
90,1,我好喜欢你哦，你发的新闻都是老百姓想看的。,0
91,1,这件事也只有凤凰敢报道，已气晕！祝李医生早日康复！你是英雄！,0
92,1,现在谁都需要！,0
93,1,早日康复,0
94,1,钟南山和这八人都应该堪称为国士,0
95,0,你听明白了吗？！好大的官威啊,0
96,1,英雄八人组,0
97,0,唉,0
98,0,不懂就问，8个都是医生？！,0
99,0,反腐这么久了，就这结果？？,0
100,0,好人在国内是没办法生存的，别怪人家老往国外跑,0
101,1,我希望好人都平安健康，坏人都立刻下十八层地狱……可是，天地不仁……,0
102,1,希望你赶快好起来哟,0
103,0,”你听明白了吗？” 书面语 很刚的嘛,0
104,1,哈哈哈哈,0
105,1,祝愿快快好起来,0
106,0,经历这次武汉以及整个官方媒体的统一口径！我明白了以后怎么对待造谣生事这个事件！,0
107,1,快点好起来！！！,0
108,1,一定要快快好起来?,0
